0,T,15:59:10.163
1,T,15:59:10.267
0,H,15:59:10.267
1,H,15:59:10.371
0,I,15:59:10.419
1,I,15:59:10.515
0,N,15:59:10.587
1,N,15:59:10.683
0,K,15:59:10.755
1,K,15:59:10.859
0,Space,15:59:10.971
1,Space,15:59:11.051
0,M,15:59:11.323
1,M,15:59:11.427
0,U,15:59:11.499
0,C,15:59:11.563
1,U,15:59:11.586
1,C,15:59:11.691
0,H,15:59:11.723
1,H,15:59:11.803
0,Space,15:59:11.859
1,Space,15:59:11.962
0,T,15:59:11.995
1,T,15:59:12.051
0,Back,15:59:12.315
1,Back,15:59:12.403
0,W,15:59:12.419
1,W,15:59:12.555
0,I,15:59:12.579
1,I,15:59:12.651
0,L,15:59:12.819
1,L,15:59:12.907
0,L,15:59:12.963
1,L,15:59:13.075
0,Space,15:59:13.115
1,Space,15:59:13.211
0,Y,15:59:13.283
0,E,15:59:13.323
1,Y,15:59:13.355
0,A,15:59:13.435
1,E,15:59:13.483
0,R,15:59:13.507
1,A,15:59:13.555
1,R,15:59:13.627
0,Space,15:59:13.683
1,Space,15:59:13.795
0,W,15:59:13.843
0,H,15:59:13.947
1,W,15:59:13.955
1,H,15:59:14.019
0,I,15:59:14.083
1,I,15:59:14.195
0,L,15:59:14.267
1,L,15:59:14.443
0,E,15:59:14.483
1,E,15:59:14.571
0,Space,15:59:14.819
1,Space,15:59:14.955
0,C,15:59:15.083
0,O,15:59:15.163
1,C,15:59:15.203
1,O,15:59:15.243
0,M,15:59:15.323
1,M,15:59:15.555
0,M,15:59:15.915
1,M,15:59:16.027
0,U,15:59:16.203
1,U,15:59:16.275
0,N,15:59:16.387
1,N,15:59:16.459
0,I,15:59:16.515
1,I,15:59:16.619
0,T,15:59:16.635
1,T,15:59:16.731
0,Y,15:59:16.843
1,Y,15:59:16.923
0,Space,15:59:17.371
1,Space,15:59:17.499
0,P,15:59:17.547
0,A,15:59:17.627
1,P,15:59:17.659
0,R,15:59:17.731
1,A,15:59:17.755
1,R,15:59:17.843
0,T,15:59:17.963
1,T,15:59:18.059
0,Space,15:59:18.107
1,Space,15:59:18.195
0,O,15:59:18.227
1,O,15:59:18.323
0,N,15:59:18.387
1,N,15:59:18.475
0,L,15:59:18.531
1,L,15:59:18.627
0,Y,15:59:18.691
1,Y,15:59:18.779
0,Space,15:59:18.827
0,P,15:59:18.939
1,Space,15:59:18.947
1,P,15:59:19.043
0,E,15:59:19.131
1,E,15:59:19.235
0,R,15:59:19.483
1,R,15:59:19.603
0,H,15:59:19.779
1,H,15:59:19.883
0,A,15:59:19.947
1,A,15:59:20.075
0,P,15:59:20.083
1,P,15:59:20.163
0,S,15:59:20.211
1,S,15:59:20.339
0,Space,15:59:20.347
1,Space,15:59:20.443
0,C,15:59:20.587
1,C,15:59:20.723
0,A,15:59:20.731
1,A,15:59:20.867
0,L,15:59:20.891
1,L,15:59:20.947
0,L,15:59:21.043
1,L,15:59:21.147
0,Space,15:59:21.235
0,C,15:59:21.331
1,Space,15:59:21.339
0,O,15:59:21.443
1,C,15:59:21.475
1,O,15:59:21.539
0,U,15:59:21.587
1,U,15:59:21.707
0,P,15:59:21.771
1,P,15:59:21.875
0,Space,15:59:22.339
1,Space,15:59:22.450
0,T,15:59:22.835
1,T,15:59:22.939
0,E,15:59:22.987
1,E,15:59:23.138
0,S,15:59:23.267
1,S,15:59:23.339
0,X,15:59:23.563
1,X,15:59:23.659
0,Back,15:59:23.763
1,Back,15:59:23.851
0,Back,15:59:23.923
0,X,15:59:23.987
1,Back,15:59:24.027
1,X,15:59:24.075
0,T,15:59:24.154
1,T,15:59:24.259
0,B,15:59:24.363
1,B,15:59:24.443
0,O,15:59:24.554
1,O,15:59:24.627
0,O,15:59:24.683
1,O,15:59:24.779
0,K,15:59:24.867
1,K,15:59:24.963
0,Space,15:59:25.067
1,Space,15:59:25.171
0,R,15:59:25.435
0,E,15:59:25.539
1,R,15:59:25.595
1,E,15:59:25.667
0,T,15:59:25.811
1,T,15:59:25.907
0,R,15:59:26.091
0,E,15:59:26.179
1,R,15:59:26.235
0,A,15:59:26.331
1,E,15:59:26.362
1,A,15:59:26.483
0,T,15:59:26.547
1,T,15:59:26.635
0,Space,15:59:26.803
1,Space,15:59:26.915
0,P,15:59:27.075
0,R,15:59:27.171
1,P,15:59:27.179
0,E,15:59:27.251
1,R,15:59:27.306
1,E,15:59:27.404
0,A,15:59:27.443
1,A,15:59:27.571
